index_number,game_name,platform,console,release_year,rating,genre,publisher,developer,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count
38,Call of Duty: Modern Warfare 3,PS3,PS3,2011,M,Shooter,Activision,Treyarch,,,,,,,,,
38,Call of Duty: Modern Warfare 3,PS3,PS3,2011,M,Shooter,Activision,Infinity Ward,,,,,,,,,
38,Call of Duty: Modern Warfare 3,PS3,PS3,2011,M,Shooter,Activision,Infinity Ward,,,,,,,,,
38,Call of Duty: Modern Warfare 3,PS3,PS3,2011,M,Shooter,Activision,Infinity Ward,,,,,,,,,
39,Grand Theft Auto III,PS2,PS2,2001,M,Action,Take-Two Interactive,DMA Design,6.99,4.51,0.3,1.3,13.1,97,56,8.5,664
40,Super Smash Bros. Brawl,Wii,Wii,2008,T,Fighting,Nintendo,Game Arts,6.75,2.61,2.66,1.02,13.04,93,81,8.9,1662
41,Call of Duty: Black Ops,PS3,PS3,2010,M,Shooter,Activision,Treyarch,5.98,4.44,0.48,1.83,12.73,80,25,5.8,87
41,Call of Duty: Black Ops,PS3,PS3,2010,M,Shooter,Activision,Treyarch,5.98,4.44,0.48,1.83,12.73,88,58,6.4,1094
41,Call of Duty: Black Ops,PS3,PS3,2010,M,Shooter,Activision,Treyarch,5.98,4.44,0.48,1.83,12.73,87,89,6.3,1454
42,Animal Crossing: Wild World,DS,DS,2005,E,Simulation,Nintendo,Nintendo,2.55,3.52,5.33,0.88,12.27,86,57,8.7,242
43,Mario Kart 7,3DS,3DS,2011,E,Racing,Nintendo,Retro Studios,,,,,,,,,
44,Halo 3,X360,X360,2007,M,Shooter,Microsoft Game Studios,Bungie Software,,,,,,,,,
45,Grand Theft Auto V,PS4,PS4,2014,M,Action,Take-Two Interactive,Rockstar North,3.8,5.81,0.36,2.02,11.98,96,57,7.9,3756
45,Grand Theft Auto V,PS4,PS4,2014,M,Action,Take-Two Interactive,Rockstar North,3.8,5.81,0.36,2.02,11.98,97,14,7.9,764
